brand,product,description
Anastasia Beverly Hills,Luminous Foundation,355N (medium skin with a neutral golden undertone)  selected
Anastasia Beverly Hills,Luminous Foundation,100N (very fair skin with a neutral undertone)
Anastasia Beverly Hills,Luminous Foundation,110C (very fair skin with a cool undertone)
Anastasia Beverly Hills,Luminous Foundation,120W (very fair skin with a warm undertone)
Anastasia Beverly Hills,Luminous Foundation,130N (very fair skin with a neutral pink undertone)
Anastasia Beverly Hills,Luminous Foundation,140N (fair skin with a neutral peach undertone)
Anastasia Beverly Hills,Luminous Foundation,150W (fair skin with a warm beige undertone)
Anastasia Beverly Hills,Luminous Foundation,160C (fair skin with a cool golden undertone)
Anastasia Beverly Hills,Luminous Foundation,200W (light skin with a warm undertone)
Anastasia Beverly Hills,Luminous Foundation,210N (light skin with a neutral golden undertone)
Anastasia Beverly Hills,Luminous Foundation,220N (light skin with a neutral peach undertone)
Anastasia Beverly Hills,Luminous Foundation,230N (light skin with a pink undertone)
Anastasia Beverly Hills,Luminous Foundation,240N (light skin with a neutral warm undertone)
Anastasia Beverly Hills,Luminous Foundation,250C (light skin with a cool golden undertone)
Anastasia Beverly Hills,Luminous Foundation,260N (light skin with a neutral undertone)
Anastasia Beverly Hills,Luminous Foundation,270C (light to medium skin with a cool golden undertone)
Anastasia Beverly Hills,Luminous Foundation,300C (light to medium skin with a cool golden undertone)
Anastasia Beverly Hills,Luminous Foundation,305N (medium skin with a neutral olive undertone)
Anastasia Beverly Hills,Luminous Foundation,310C (medium skin with a cool olive undertone)
Anastasia Beverly Hills,Luminous Foundation,315N (medium skin with a neutral beige undertone)
Anastasia Beverly Hills,Luminous Foundation,320N (medium skin with a neutral pink undertone)
Anastasia Beverly Hills,Luminous Foundation,290C (light to medium skin with a warm golden undertone)
Anastasia Beverly Hills,Luminous Foundation,330W (medium skin with a warm yellow undertone)
Anastasia Beverly Hills,Luminous Foundation,332C (medium skin with a cool golden undertone)
Anastasia Beverly Hills,Luminous Foundation,335W (medium skin with a warm peach undertone)
Anastasia Beverly Hills,Luminous Foundation,340C (medium skin with a cool peach undertone)
Anastasia Beverly Hills,Luminous Foundation,345C (medium skin with a cool golden peach undertone)
Anastasia Beverly Hills,Luminous Foundation,350C (medium skin with a golden undertone)
Anastasia Beverly Hills,Luminous Foundation,360C (medium skin with a deep golden undertone)
Anastasia Beverly Hills,Luminous Foundation,365C (medium to tan skin with a cool olive undertone)
Anastasia Beverly Hills,Luminous Foundation,370W (medium to tan skin with a warm undertone)
Anastasia Beverly Hills,Luminous Foundation,400N (tan skin with a neutral peach undertone)
Anastasia Beverly Hills,Luminous Foundation,410C (tan skin with a golden undertone)
Anastasia Beverly Hills,Luminous Foundation,420C (tan skin with a cool undertone)
Anastasia Beverly Hills,Luminous Foundation,430W (tan skin with a warm undertone)
Anastasia Beverly Hills,Luminous Foundation,440C (tan skin with a cool golden undertone)
Anastasia Beverly Hills,Luminous Foundation,450C (tan skin with a deep golden undertone)
Anastasia Beverly Hills,Luminous Foundation,470C (tan skin with a cool deep golden undertone)
Anastasia Beverly Hills,Luminous Foundation,480C (tan skin with an olive undertone)
Anastasia Beverly Hills,Luminous Foundation,490W (tan skin with a red undertone)
Anastasia Beverly Hills,Luminous Foundation,500C (deep skin with a cool pink undertone)
Anastasia Beverly Hills,Luminous Foundation,510W (deep skin with a warm undertone)
Anastasia Beverly Hills,Luminous Foundation,520W (deep skin with a red olive undertone)
Anastasia Beverly Hills,Luminous Foundation,530N (deep skin with a neutral pink undertone)
Anastasia Beverly Hills,Luminous Foundation,540W (deep skin with a warm red undertone)
Anastasia Beverly Hills,Luminous Foundation,550W (deep skin with a neutral undertone)
Anastasia Beverly Hills,Luminous Foundation,560W (deep skin with a warm beige undertone)
Anastasia Beverly Hills,Luminous Foundation,570N (deep skin with a neutral red undertone)
Anastasia Beverly Hills,Luminous Foundation,580W (very deep skin with a warm red undertone)
Anastasia Beverly Hills,Luminous Foundation,590C (very deep skin with a cool undertone)
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,"Shell 1W1 (very fair beige w/ golden, warm undertones)  selected"
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,Linen 1N1 (very fair beige w/ neutral undertones) OUT OF STOCK
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,"Alabaster 1C1 (very fair beige w/ rosy, cool undertones)"
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,"Porcelain 1N2 (fair beige w/ peachy, neutral undertones) OUT OF STOCK"
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,"Ivory 1C2 (fair beige w/ rosy, cool undertones)"
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,"Sand 1W2 (fair beige w/ golden, warm undertones)"
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,Cashmere 1N3 (fair to light beige w/ neutral undertones)
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,"Vanilla 2W1 (light beige w/ golden, warm undertones)"
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,"Bisque 2C1 (light beige w/ rosy, cool undertones)"
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,Cashew 2N1 (light beige w/ neutral undertones)
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,"Teak 2C2 (light to medium beige w/ peachy, cool undertones)"
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,Desert 2N2 (light to medium beige w/ neutral undertones)
